French,English
angelina,Angelina
bucky,bucky
animale,animal
joui,cheese
lennie,lennie
transit,transit
vomis,vomit
fletch,fletch
suzy,Suzy
fidel,fidel
régional,regional
chevrolet,chevrolet
pepsi,pepsi
éric,Eric
hendrix,hendrix
lonnie,lonnia
klingon,klingon
uhh,UHH
perplexe,perplex
contribuer,contribute
elfes,elves
botté,boot
calmez,calm
souhaitais,desired
convertir,convert
tremblent,tremble
aristocrate,aristocrat
brigand,brigand
aujourd,today
permettait,allowed
restauration,restoration
déclenchée,triggered
frêres,brothers
suer,sweat
souhaitait,wished
collective,collective
contrarie,upset
collée,glued
émis,issued
risquait,risked
présentable,presentable
accueillons,Let us welcome
parierais,would bet
pesant,weighing
gâter,spoil
solennellement,solemnly
parcelle,plot
aboyer,to bark
épinards,spinach
filature,spinning
étonner,surprise
requis,required
dévalisé,devilled
anéantie,annihilate
viola,Viola
asseyait,Asked
malone,Malone
vices,vices
colomb,Columbus
mécontent,unhappy
réceptionniste,receptionist
impair,odd
peupie,peupie
mâche,chewed up
cologne,cologus
supérieures,superior
recevras,will receive
ei,IS
chatons,kittens
banquette,bench
finesse,finesse
autos,cars
youpi,Youpi
apprenais,learned
sentinelles,sentries
féroces,fierce
imposé,imposed
martinez,Martinez
inversé,reverse
lutz,lutz
delhi,Delhi
margie,margie
trophées,trophies
need,Need
mythologie,mythology
marat,marat
them,Them
machins,jaw
master,Master
organisés,organized
cake,cake
forbes,forbes
discutait,discussed
prete,ready
ressentent,feel
réacteurs,reactors
gerbe,wreath
bourrer,stuff
internat,boarding school
localisation,location
keaton,keaton
enflure,swelling
estjuste,is just
clim,air conditioning
tao,tao
jojo,Jojo
shraga,shraga
reyes,reyes
disjoncté,disjected
shooter,shoot
bee,bee
watergate,watergate
hamster,hamster
gillian,Gillian
gob,gob
reves,dreams
laveur,washer
taquiner,tease
reconnus,recognized
emmenais,Embénais
aperçue,glimpse
émet,emits
impressions,impressions
hissez,hoist
chevelure,hair
carats,carats
fines,fine
clientes,clients
princesses,princesses
arriêre,back
méditerranée,Mediterranean
regorge,abound
chanterai,will sing
querelles,quarrels
inexplicable,inexplicable
crowley,Crowley
désole,Sorry
atouts,assets
fâchés,angry
méprisable,contemptible
weston,Weston
pensionnat,boarding school
frangine,fragile
purger,purge
relancer,to restart
voûte,vaulted
couvrent,cover
nié,denied
bistrot,bistro
hongrie,Hungary
impulsions,impulses
boirais,would drink
retraité,retirement
épice,spicy
corridor,corridor
prodigieux,prodigious
schultz,schultz
niagara,niagara
désoiée,offend
rôtir,to roast
plié,folded
justifié,justified
milwaukee,milwaukee
fiables,reliable
présentait,presented
gendarme,gendarme
distant,distant
égocentrique,egocentric
tiroirs,drawers
musclé,muscle
barbu,bearded
gong,gong
cannelle,cinnamon
dangereusement,dangerously
buffle,buffalo
indestructible,indestructible
orthodoxe,orthodox
entrepris,undertaken
réguliers,regular
informée,informed
pesetas,pesetas
habilles,dresses
caractères,characters
skier,to ski
nottingham,Nottingham
elfe,elf
énergétique,energetic
duffy,duffy
admise,admitted
bascule,swing
supporters,supporters
andreï,Andreï
dèjà,Already
plutonium,plutonium
rest,rest
étudies,study
métaux,metals
eminence,eminence
aviv,Aviv
déconnez,Disconnect
katya,katya
cheeseburger,cheeseburger
funk,funk
leapinlar,leapinlar
leela,leela
verrouiller,lock
désigne,designate
quichotte,quiichotte
approuver,approve
erre,wander
henrik,Henrik
présentera,will present
theresa,Theresa
satisfaisant,satisfying
plateaux,trays
ètais,ètais
flatte,flatter
dénicher,find
chercherai,will seek
réconfortant,comforting
trombone,trombone
menaçait,threatened
raie,ray
chérir,cherish
downey,downey
exposée,presentation
géantes,giant
samedis,Saturdays
donnaient,gave
frieda,frieda
essaierais,would try
digérer,digest
marraine,godmother
causés,caused
exclure,exclude
amazone,Amazon
puante,stinking
abouti,successful
bouclée,curly
skinny,skinny
découvrira,will discover
choléra,cholera
three,three
continuerons,will continue
manning,manning
psychique,psychic
scolaires,school
amoureuses,in love
obstruction,obstruction
défaites,defeats
zinc,zinc
jardinage,gardening
rand,rand
ivres,drunk
vouiu,vouiu
sèches,dry
conscients,conscious
réussissent,succeed
renversée,reversed
incompétence,incompetence
sand,sand
canton,canton
tiède,lukewarm
espèrent,hope
tapait,tap
aînés,elder
avisé,informed
please,please
minette,kitten
pinte,pint
nonnes,nuns
cristaux,crystals
bernstein,Bernstein
comporté,compounded
secousse,jerk
déplacée,displaced
sondage,survey
welles,Welles
classement,ranking
claudio,claudio
ava,Ava
pascal,pascal
boulette,pellet
design,design
controle,control
auschwitz,Auschwitz
janine,Janine
weekend,weekend
génocide,genocide
jimi,jimi
kiffe,kiffe
baldrick,baldrick
daryl,Daryl
fester,fester
tigrou,tigrou
agressée,attacked
insinuez,Insinteen
blindée,armored
riposter,ride
plongez,dive
débarquent,disembark
charlot,charlot
benito,benito
mélancolie,melancholy
échappera,Escape to
possédée,possessed
rétablissement,recovery
burrows,burrows
épicier,grocer
muets,mute
radieux,radiant
oubliées,forgotten
redoute,redoubt
existes,existing
gaspillé,wasted
prêtez,Lend
chick,chick
refusera,will refuse
empêchez,prevent
pèlerins,pilgrims
lrlandais,LRland
porteras,Portera
poteaux,poles
dépêches,dispatches
lobe,lobe
polonaise,Polish
viviez,live
intéressez,interest
ressorti,output
rapportent,report
envoyons,Let's send
affirmé,assertive
réveillés,awake
fourre,shoe
inclut,include
macaque,macaque
déterrer,dig up
débrouillera,will manage
supériorité,superiority
bondir,leap
fréres,brothers
tombées,fell
control,control
défile,parade
cartouche,cartridge
twist,twist
karloff,karloff
olivier,Olivier
insinues,insinuated
supposez,suppose
changeront,will change
confortablement,comfortably
piété,devotion
occidental,Western
tracas,hassle
branchés,trendy
dessinée,drawing
cannibales,cannibals
lsraël,lsrael
ajuster,adjust
menacez,threaten
autographes,autographs
poulailler,chicken coop
ennuyais,boring
prévient,warns
gratuites,free
crocodiles,crocodiles
bénite,blessed
arrachée,pulled
were,were
diminuer,decrease
bahut,bahut
destroyer,destroy
liban,Lebanon
inaccessible,inaccessible
diminué,decreases
exclusivement,exclusively
corky,Corky
abdul,abdul
pomper,pump
strip,strip
ogives,warheads
borgne,borne
aluminium,aluminum
sushis,sushi
wiley,wiley
guérilla,guerrilla
trek,trek
lucien,Lucien
reg,reg
vietnamiens,Vietnamese
kathryn,kathryn
georgetown,georgetown
geordi,geordi
représentez,represent
placards,cupboards
forage,drilling
caféine,caffeine
esquiver,to dodge
eclair,flash
maxine,maxine
battons,beating
bûcheron,lumberjack
hola,Hello
eternel,eternal
crevette,shrimp
musicales,musical
accompagnent,accompany
gaieté,gaiety
retrouvailles,reunion
tenus,held
fis,fis
signés,signed
inséparables,inseparable
ouvrière,factory Girl
contrôlée,controlled
actualités,news
pommade,ointment
caleçons,seats
mata,mata
tuerez,will kill
catalina,Catalina
percuté,sneak
nanny,nanny
somnifère,sleeping pill
fusillé,shot
conteste,dispute
familière,familiar
profitent,benefit
winnie,Winnie
exploite,exploit
jaser,chatter
kaiser,Kaiser
fragiles,fragile
licencié,licensee
éventail,range
échéance,due date
yellow,yellow
ch,ch
cabines,cabins
pointu,sharp
rimes,rhymes
emerson,Emerson
galeries,galleries
mesquin,sooty
revolvers,revolvers
budapest,Budapest
arrêtiez,stop
combines,panels
coiffeuse,hairdresser
fièrement,proudly
unissent,unite
calvaire,Calvary
justesse,accuracy
attendras,will wait
bûche,log
souciez,worry
virent,saw
dévaliser,rob
écoule,flow
tournevis,screwdriver
débrancher,unplug
démodé,old -fashioned
touchdown,touch down
marmotte,marmot
diesel,diesel
confisqué,confiscated
sangsues,leechs
infantile,infantile
patton,patton
formés,trained
hampshire,Hampshire
reserve,reserve
adios,adios
volts,volts
météore,meteor
résidents,residents
chasteté,chastity
réunies,gathered
devlin,Devlin
farmer,wack up
dundee,dundee
katrina,katrina
rincer,rinse
lésions,lesions
cafe,coffee
vega,vega
cappuccino,cappuccino
spence,outspokenness
hurley,Hurley
capteurs,sensors
brother,brother
téléportation,teleportation
bubba,bubba
irwin,irwin
gandalf,gandalf
jam,jam
içi,here
osono,osono
établis,established
patin,skate
plaisantait,joked
dérangeait,bored
amusement,fun
surprenante,surprisingly
gitane,gypsy
jargon,jargon
parla,over there
vastes,vast
conçus,designed
éther,ether
brûlées,burned
prive,private
funeste,fatal
gratin,gratin
partageait,shared
eurent,had
odessa,Odessa
tracts,leaflets
saccagé,ransacked
johnnie,johnnie
browning,browning
ensembles,sets
kearns,kearns
rencontreras,will meet
tord,tidy
yep,yep
recharger,recharge
appele,called
costauds,beefy
rassemblent,bring together
boive,drinking
versez,pour
aimables,friendly
pulsions,impulses
épingles,pins
amabilité,kindness
épater,to wow
amenait,brought
alpes,Alps
explosent,explode
ramez,Rame
sauvagement,savagely
evitez,avoid
piston,piston
francais,French
cartwright,cartwright
emménage,move
glacial,glacial
modifications,changes
réglera,will settle
mangeur,eater
polis,polished
désirée,desired
telephone,phone
aéroports,airports
voilier,sailing ship
bordeaux,Bordeaux
équipée,equipped
évadés,evaded
inaperçu,unstoppated
révélée,revealed
feinte,feigned
terrence,soil
avancées,advanced
décevez,Dip
envahisseurs,invaders
afficher,display
pharmaceutique,pharmaceutical
passeur,passer
atteints,suffering
diffuse,diffuse
couchage,sleeping
etonnant,amazing
voyeur,voyeur
shiro,shiro
felipe,felipe
ceiie,this
nouveiies,new
défectueux,defective
mendoza,Mendoza
bourrés,drunk
chavez,chavese
leonardo,Leonardo
åt,Åt
linus,linus
ahmad,ahmad
spartacus,spartacus
silvia,silvia
présidentiel,presidential
vulcain,Vulcan
osman,Osman
masturber,masturbate
hy,hy-
paro,paro
carlito,carlito
martine,martine
bosnie,Bosnia
string,string
graeme,bassineful
détends,relaxation
hélice,helix
compas,compass
rigolé,laugh
pâturages,pasture
facilite,ease
agricole,agricultural
aptitude,aptitude
délégués,delegates
ride,wrinkled
tourment,torment
originaire,native
vigilant,vigilant
rendit,rendered
concentrée,concentrated
réseaux,networks
after,after
dormiez,sleep
impatients,impatient
tourmenter,torment
jock,jock
ez,ez
gymnastique,gymnastic
tourtereaux,lovebirds
phelps,phelps
falaises,cliffs
hari,hari
commet,command
fauchée,mown
rasage,shaving
laverie,laundromat
emportera,will take away
palpitant,exciting
apéritif,aperitif
funéraire,funeral
identifiés,identified
dérober,to steal
bâtie,built
débuter,start
clac,clack
située,located
imprimerie,printing
jamaïque,Jamaica
lima,lima
rangées,rows
passagère,passenger
extrémité,end
iire,ire
anglaises,English
leigh,Leigh
manquons,let's miss
phoque,seal
pillage,looting
martinis,Martinis
évitons,Evitons
tuberculose,tuberculosis
flaque,puddle
écroulé,collapsed
mettiez,put
albanais,Albanian
tendances,trends
travaiiie,work
constate,finding
