,French,English
200,bof,bof
201,serizawa,serizawa
202,balayage,scanning
203,sür,on
204,toki,toki
205,burnes,burns
206,préservatifs,condoms
207,hiro,hiro
208,xiao,Xiao
209,kelno,kelno
210,joo,joo
211,recherchons,we are looking for
212,détourne,divert
213,fichais,fichais
214,perturbée,disturbed
215,engagez,hire
216,allumage,ignition
217,gagnerez,will win
218,importuner,annoy
219,consulte,consult
220,corvées,chores
221,potence,stem
222,sonnent,sound
223,scellé,sealed
224,reflète,reflect
225,azur,azure
226,jupons,petticoats
227,montera,will rise
228,sanglante,bloody
229,rosée,dew
230,humbles,humble
231,vulgaires,vulgar
232,signerai,will sign
233,sonnait,wilted
234,dancing,dancing
235,repartez,leave
236,séparée,separate
237,harrington,harrington
238,éventuellement,"Most often is ""possibly"""
239,supporterai,will support
240,eyes,Eyes
241,toupet,toupet
242,châle,shawl
243,rituels,rituals
244,harmonica,harmonica
245,fane,fane
246,incapacité,inability
247,arkansas,Arkansas
248,vautour,vulture
249,pigez,stuck
250,mendiants,beggars
251,découvrez,discover
252,billings,billings
253,grove,grove
254,pénal,criminal
255,ps,PS
256,dérangés,disturbed
257,sections,sections
258,inimaginable,unimaginable
259,casper,casper
260,saignant,bleeding
261,humblement,humbly
262,lus,read
263,regagnez,regain
264,perdrait,would lose
265,garderie,nursery
266,révérence,reverence
267,ouille,muddy
268,punit,puny
269,refilé,tickle
270,endurance,endurance
271,patientez,wait
272,entraider,hamper
273,conway,conway
274,portés,doors
275,vivions,vivion
276,pressions,pressures
277,had,hady
278,thing,thing
279,supposés,supposed
280,tapettes,swatte
281,remèdes,remedies
282,gardienne,guardian
283,influencé,influence
284,psycho,psycho
285,vendues,sold
286,moquait,fired
287,concurrent,competitor
288,nadine,nadine
289,giselle,giselle
290,fernand,Fernand
291,marlon,marlon
292,entité,entity
293,natasha,Natasha
294,micah,micah
295,zoom,zoom
296,paige,paige
297,nibards,boobs
298,sync,sync
299,opportunités,opportunities
300,droguer,make drugs
301,fixez,fix
302,originaux,original
303,valide,valid
304,épices,spices
305,cheese,cheese
306,mémorable,memorable
307,vendais,sold
308,récompenser,reward
309,filou,scalp
310,lazare,Lazarus
311,désarmé,disarmed
312,rossignol,nightingale
313,brûlera,will burn
314,scélérat,scoundrel
315,récupération,recovery
316,mildred,milled
317,écuries,stables
318,embrassait,kissed
319,matelots,sailors
320,tully,tully
321,légères,light
322,couchette,berth
323,sanglant,bloody
324,éloignée,distant
325,una,una
326,brûlait,was burning
327,cassent,breakage
328,instruit,educated
329,choquer,chock
330,impératif,imperative
331,glissant,sliding
332,répéterai,will repeat
333,cincinnati,cincinnati
334,opératrice,operator
335,apportée,brought
336,enfuient,fled
337,mentalité,mentality
338,pif,pif
339,écoutiez,listen
340,soudan,Sudan
341,débauche,debauchery
342,dêjà,Already
343,pastèque,watermelon
344,universel,universal
345,ramer,row
346,colleen,Colleen
347,équipés,equipped
348,payées,paid
349,exemples,examples
350,flancs,flanks
351,socialisme,socialism
352,his,His
353,edwin,Edwin
354,jugée,tried
355,marian,marian
356,cottage,cottage
357,athée,atheist
358,dépendait,depended
359,mœurs,manners
360,brièvement,briefly
361,miniature,miniature
362,méditer,meditate
363,soucieux,concerned
364,indemne,unhappy
365,tatoué,tattooed
366,routière,road
367,démasqué,unmasked
368,évacue,evacuated
369,confiée,entrusted
370,détection,detection
371,rendront,will return
372,recevait,received
373,richardson,Richardson
374,envolent,fly away
375,sandales,sandals
376,régale,treat
377,abats,offal
378,bougerai,will move
379,simms,simms
380,mitraillette,machine gun
381,allergie,allergy
382,atroces,atrocious
383,hybride,hybrid
384,hiroshima,hiroshima
385,radars,radars
386,respires,respies
387,rouille,rust
388,lnspecteur,lnspector
389,kathleen,Kathleen
390,annette,Annette
391,sùr,on
392,momo,momo
393,dren,dren
394,lain,horny
395,ést,East
396,timbre,stamp
397,boira,Boira
398,désirais,desired
399,polaire,polar
400,pli,fold
401,tôle,sheet metal
402,finissait,finished
403,véritablement,truly
404,excessive,excessive
405,approchait,approached
406,efforce,strive
407,animés,animated
408,aggrave,worsen
409,guéris,healing
410,estropié,crippled
411,découverts,overdraft
412,cosaques,Cossacks
413,tiendrait,would hold
414,digitales,digital
415,celà,that
416,déplacements,displacement
417,flo,float
418,inhabituelle,unusual
419,balançoire,swing
420,iceberg,iceberg
421,protester,protest
422,embrouiller,muddle
423,riant,laughing
424,embrouillé,confuses
425,libéral,liberal
426,fire,fire
427,cuve,tank
428,bondé,crowded
429,bouée,buoy
430,percée,breakthrough
431,manquée,missed
432,marrons,chestnuts
433,posture,posture
434,º,º
435,cramer,To screw up
436,peace,peace
437,putois,pole
438,fonctionnait,worked
439,rationnel,rational
440,formons,formal
441,renvoyés,referred
442,mobilier,furniture
443,mais je,but I
444,valeureux,valiant
445,maudites,cursed
446,fournis,supplied
447,monk,monk
448,alligator,alligator
449,inondation,flood
450,vitesses,speeds
451,wilkes,wilkes
452,réparée,fixed
453,garantit,guaranteed
454,barrières,barriers
455,animateur,leader
456,sensei,sensei
457,nécessite,need
458,mathieu,mathieu
459,custer,custer
460,airlines,airlines
461,substances,substances
462,renée,Renée
463,oe,work
464,mio,mio
465,parsons,parsons
466,leone,leone
467,thermique,thermal
468,antibiotiques,antibiotics
469,foutrement,fucked up
470,sushi,sushi
471,galactique,galactic
472,astrid,astrid
473,skywalker,skywalker
474,tae,tae
475,sylar,sylar
476,garza,Garza
477,établie,established
478,confronter,to confront
479,approchons,approaches
480,tirerez,will shoot
481,râle,groan
482,nocturnes,nocturnal
483,achevée,finished
484,pénitence,penance
485,décapité,decapitity
486,accouché,voted
487,morbide,morbid
488,lavabo,washbasin
489,remerciement,thanks
490,vengé,avenged
491,représenté,represented
492,faust,faust
493,publie,publish
494,bahamas,Bahamas
495,solaires,solar
496,chassent,hunt
497,recherchés,research
498,moeurs,morals
499,ignorants,ignorant
500,utilisera,will use
501,calories,calories
502,partition,partition
503,tiendras,tiendra
504,intello,nerd
505,financièrement,financially
506,retarde,delayed
507,thorpe,thorpe
508,paralysie,paralysis
509,abbaye,abbey
510,helsing,Helsing
511,steph,steph
512,poole,poop
513,dégoûtante,disgusting
514,racket,racketeering
515,coureurs,runners
516,leeds,leeds
517,égoïsme,selfishness
518,bluffe,bluff
519,microscope,microscope
520,photographié,photography
521,proviennent,come
522,manipulé,manipulated
523,implication,involvement
524,hazel,hazel
525,huissier,bailiff
526,baies,berries
527,amélioration,improvement
528,procède,process
529,merrick,merrick
530,nouveiie,new
531,initiale,initial
532,géographie,geography
533,diabète,diabetes
534,nichols,nichols
535,poivrot,pepper
536,inspirée,inspired
537,deviendront,will become
538,prouvent,prove
539,sacramento,sacramento
540,laisserez,leave
541,forum,forum
542,selma,Selma
543,camelot,camera
544,larkin,Larkin
545,carpe,carp
546,ouvrait,opened
547,robby,Robby
548,investigation,investigation
549,fiscale,tax
550,grimes,grimes
551,bougeait,was moving
552,athéna,athena
553,bousille,bousille
554,sub,sub
555,adhésif,adhesive
556,signore,sign
557,doolittle,doolittle
558,trippy,trippy
559,gogh,gogh
560,tucson,Tucson
561,today,Today
562,crockett,Crockett
563,wanna,Wanna
564,températures,temperatures
565,op,op
566,mëme,even
567,joanne,Joanne
568,hachi,Hachi
569,stéréo,stereo
570,jacky,jacky
571,masturbation,masturbation
572,ying,ying
573,annabelle,Annabelle
574,francine,Francine
575,precious,precious
576,probabilité,probability
577,instincts,instincts
578,traînez,drag
579,éventualité,eventuality
580,boche,Boche
581,minnie,minnie
582,ennuient,annoying
583,capturés,captured
584,immortelle,immortal
585,dévotion,devotion
586,dicte,dictate
587,maintenu,kept
588,périodes,periods
589,évites,avoidance
590,sacrifie,sacrificed
591,éminent,prominent
592,louée,praise
593,culturelle,cultural
594,fifi,fifi
595,complêtement,completely
596,comptons,counts
597,idêe,idea
598,réclament,claim
599,remarquée,remarkable
600,vertueux,virtuous
601,estelle,is she
602,résumer,to summarize
603,bouscule,jostle
604,comprendriez,would understand
605,torchon,tea towel
606,épuisés,exhausted
607,bandage,bandage
608,flair,flair
609,tigresse,tigress
610,starr,starr
611,redis,repeat
612,passiez,pass
613,disperser,disperse
614,chameaux,camels
615,abbott,abbott
616,sanders,Sanders
617,roulent,roll
618,produite,produced
619,présumé,presumed
620,raffut,bloom
621,jaguar,jaguar
622,roulait,rolled
623,volais,stewed
624,steward,steward
625,hostilité,hostility
626,jurons,swear
627,carlisle,carlisle
628,key,Key
629,projette,projection
630,peloter,pelot
631,ching,hunting
632,vérifions,check
633,gaucher,left -handed
634,hiérarchie,hierarchy
635,balais,broom
636,négocié,negotiated
637,pulitzer,pulitzer
638,reproduise,reproduce
639,traqué,tracked
640,écureuils,squirrels
641,infernal,infernal
642,prénoms,first names
643,envolée,flourish
644,muffins,muffins
645,copenhague,copenhagen
646,krishna,krishna
647,cramé,burnt
648,death,Death
649,tailles,sizes
650,earp,earp
651,bullard,Bullard
652,alfie,alfie
653,noriko,noriko
654,michele,Michele
655,urbaine,urban
656,cbs,CBS
657,lobo,lobo
658,bin,bin
659,kumar,kumar
660,taf,job
661,milos,milos
662,aldous,aldous
663,maverick,maverick
664,kayla,kayla
665,kitt,kitt
666,bunty,bunty
667,contrer,to counter
668,patientes,patient
669,renouveler,renew
670,puissances,powers
671,loyale,loyal
672,redresse,recovery
673,ventilateur,fan
674,invitez,invite
675,voué,dedicated
676,réalités,realities
677,dégoûté,disgust
678,antre,lair
679,escargots,snails
680,paisiblement,peacefully
681,extension,extension
682,jouée,played
683,encerclé,surrounded
684,assurés,insured
685,déduction,deduction
686,régaler,feast
687,civière,litter
688,proue,bow
689,tapage,noise
690,choisissent,choose
691,riggs,riggs
692,mascarade,masquerade
693,porcherie,pigsty
694,corey,corey
695,torts,wrong
696,campagnes,campaigns
697,repensé,redesigned
698,gémir,groan
699,insultant,insulting
700,verbal,verbal
701,conviendrait,would be suitable
702,imhotep,imhotep
703,musées,museums
704,encens,incense
705,cessent,cease
706,martyrs,martyrs
707,admirais,admired
708,battaient,were beating
709,attentats,attacks
710,siience,siece
711,march,March
712,sentinelle,sentinel
713,comparable,comparable
714,mourais,sudden
715,simpie,simplicity
716,apportait,brought
717,sceptique,skeptical
718,aurora,Aurora
719,chassez,hunt
720,cités,cities
721,thierry,thierry
722,iieu,ieu
723,refusais,refusal
724,coalition,coalition
725,familiales,family
726,griffe,claw
727,remplacera,will replace
728,pingouins,penguins
729,immature,immature
730,abrite,shelters
731,some,some
732,frazier,frazier
733,invalide,invalid
734,mafieux,mafia
735,transmissions,transmissions
736,caniche,poodle
737,devereaux,becoming
738,nicola,nicola
739,kris,kris
740,fern,fern
741,made,made
742,karin,karin
743,automatiques,automatic
744,ever,run
745,structures,structures
746,présentateur,presenter
747,lei,lei
748,rolling,rolling
749,garry,garry
750,qin,Qin
751,lnternet,lternet
752,nsa,nsa
753,taco,taco
754,sung,sung
755,heavy,heavy
756,viagra,viagra
757,cartman,Cartman
758,scofield,scofield
759,fayed,fayed
760,lineu,line
761,ponyo,ponyo
762,bean,bean
763,stricte,strict
764,utiliserai,will use
765,japonaises,Japanese
766,dingo,dingo
767,tirons,shot
768,collectionneur,collector
769,progéniture,offspring
770,procure,procure
771,sombrer,sink
772,légué,begging
773,hospice,hospice
774,soupçonner,suspect
775,chinoises,Chinese
776,luxure,lust
777,habitant,resident
778,travailliez,work
779,ventilation,ventilation
780,lotion,lotion
781,problemes,problems
782,aubrey,Aubrey
783,sécheresse,drought
784,manquerez,will miss
785,bach,bach
786,hemingway,hemingway
787,caissier,cashier
788,aplomb,plumb
789,fourrures,furs
790,assises,assize
791,subtile,subtle
792,canari,canary
793,valets,valets
794,rendrais,would return
795,rendrez,Repeat
796,exotiques,exotic
797,weiss,Weiss
798,affole,panic
799,soldes,sales
800,marlene,marlene
801,remboursement,refund
802,orchidée,orchid
803,commandants,commanders
804,osais,daring
805,excessif,excessive
806,rail,rail
807,relie,connect
808,manette,controller
809,roumanie,Romania
810,écrira,will write
811,récif,reef
812,pourrit,rotten
813,tige,stem
814,transmettez,transmit
815,rivers,rivers
816,faciie,facie
817,carpenter,carpenter
818,dorian,dorian
819,bolivie,Bolivia
820,sos,sos
821,léopold,leopold
822,dunn,dunn
823,tram,tram
824,fielding,field
825,tranches,slices
826,probation,probation
827,branchée,trendy
828,commandements,commandments
829,mourrir,die
830,clebs,clebs
831,dex,dex
832,lumiere,light
833,completement,completely
834,humides,damp
835,dusty,dusty
836,horton,horton
837,expérimental,experimental
838,vessie,bladder
839,slater,slater
840,mayday,Mayday
841,décalage,gap
842,quantique,quantum
843,antônio,antônio
844,braguette,fly
845,kang,kang
846,ä,To
847,caitlin,caitlin
848,kishen,kishen
849,veillée,vigil
850,brûlante,burning
851,rommel,rommel
852,délinquant,offender
853,monture,mount
854,hideux,hideous
855,survivrai,will survive
856,remballe,boot
857,neiges,snow
858,maternel,maternal
859,prouverai,will prove
860,saturne,Saturn
861,crus,raw
862,réfugier,refuge
863,résolue,resolved
864,hériter,to inherit
865,doté,endowed
866,capté,captured
867,compatis,sympathetic
868,sucreries,sweets
869,rade,harbor
870,agneaux,lambs
871,élémentaire,elementary
872,ingrate,ungrateful
873,tromperie,deception
874,dires,saying
875,comprimé,compressed
876,souriait,smiled
877,reconnaîtrais,would recognize
878,sautent,jump
879,dépanner,troubleshoot
880,biblique,biblical
881,trébuché,stumbling down
882,camisole,camisole
883,répression,repression
884,vivrons,live
885,zèbre,zebra
886,conclue,concluded
887,clic,click
888,lache,cowardly
889,larbin,girlab
890,déguisés,disguised
891,marchander,to bargain
892,verrouille,Locked
893,appartenu,belonging
894,courrez,run
895,argenterie,silverware
896,remplacement,replacement
897,moralement,morally
898,tabie,tabie
899,veuient,widowed
900,aiiô,Aiiô
901,recouvre,cover
902,baguettes,chopsticks
903,envergure,scope
904,hai,hai
905,cendre,ash
906,hood,hood
907,présentement,presently
908,refermer,close
909,costello,costello
910,durable,sustainable
911,capter,capture
912,sucé,sucking
913,hydraulique,hydraulic
914,abilene,abilene
915,résolus,resolved
916,cui,bake
917,résistant,wearing
918,interférences,interference
919,benne,skipper
920,denis,Denis
921,penchant,penchant
922,superficiel,superficial
923,cory,cory
924,magnétophone,tape recorder
925,vïus,vius
926,bennie,Bennie
927,eta,ETA
928,pacino,pacino
929,peyton,peyton
930,rhea,rhea
931,mohammad,mohammad
932,board,board
933,bethany,bethany
934,tonbo,tone
935,sms,sms
936,gardés,kept
937,préservatif,condom
938,nappe,layer
939,felicia,Felicia
940,gogo,gogo
941,issu,output
942,initiation,initiation
943,inattendue,unexpected
944,ny,ny
945,sabbat,Sabbath
946,épines,thorns
947,fumant,smoking
948,roubles,rubles
949,obscure,obscure
950,couplet,verse
951,tolère,tolerated
952,noyés,drowned
953,reprendrai,will resume
954,hampton,Hampton
955,brouillés,scrambled
956,epouse,marry
957,inhumain,inhuman
958,rendras,will return
959,béquilles,crutch
960,fichait,fichait
961,suffiront,will suffice
962,frappant,striking
963,oyez,oyez
964,dépourvu,devoid
965,annexe,Annex
966,frigorifix,frigrifix
967,refaites,rebuild
968,préserve,preserve
969,mijote,mijote
970,sourdine,mute
971,matraque,baton
972,bijouterie,jewelry store
973,diffusé,broadcast
974,posté,job
975,bianche,bianche
976,rendes,renders
977,insistes,insist
978,étalage,display
979,engendre,generates
980,coran,Koran
981,côtelettes,chop
982,marierai,Marierai
983,pharmacien,pharmacist
984,penderie,wardrobe
985,coupons,coupons
986,idioties,stupid
987,canular,prank
988,embouteillages,traffic jams
989,vénère,venere
990,germes,germs
991,prescription,prescription
992,connecter,connect
993,fenton,fenton
994,coiffe,cap
995,ulrich,Ulrich
996,blanchir,whiten
997,lrene,slide
998,cornelius,Cornelius
999,seller,seller
1000,devenant,becoming
1001,ready,ready
1002,liverpool,liverpool
1003,réalistes,realistic
1004,externe,external
1005,préparais,prepare
1006,tendez,tend
1007,valve,valve
1008,tulipe,tulip
1009,pochette,pocket
1010,wendell,wendell
1011,takashi,takashi
1012,touffe,tuft
1013,mira,mira
1014,styles,styles
1015,câlins,cuddles
1016,tofu,tofu
1017,aldo,aldo
1018,entrainement,coaching
1019,sauna,sauna
1020,yann,yann
1021,dumbledore,Dumbledore
1022,gifler,slap
1023,puéril,childish
1024,encourageant,encouraging
1025,invitent,invite
1026,offrande,offering
1027,composée,compound
1028,gigolo,gigolo
1029,périscope,periscope
1030,financières,financial
1031,feuilleton,serial
1032,bernardo,Bernardo
1033,olaf,olaf
1034,mariera,Mariera
1035,défié,challenged
1036,hypocrites,hypocrites
1037,conformément,in accordance
1038,vertiges,dizziness
1039,pinceau,brush
1040,transforment,transform
1041,tiendront,will hold
1042,aisément,easily
1043,mémo,memo
1044,troublant,disturbing
1045,ecrivez,write
1046,obligez,oblige
1047,rolls,rolls
1048,passê,pass
1049,hanter,haunt
1050,fair,fair
1051,heurter,to hit
1052,renseigne,information
1053,débordés,overwhelmed
1054,aggraver,aggravate
1055,pansements,dressings
1056,étonnée,surprised
1057,construis,construct
1058,jetait,was throwing
1059,arrêterais,would stop
1060,mann,mann
1061,jasmin,jasmine
1062,offenses,offenses
1063,esteban,Esteban
1064,filon,vein
1065,oakland,oakland
1066,chantera,will sing
1067,lents,slow
1068,enterrements,burials
1069,bouchons,caps
1070,variété,variety
1071,déshabille,undressed
1072,ingrédients,ingredients
1073,enchante,delighted
1074,tua,you are
1075,girafe,giraffe
1076,expédier,dispatch
1077,rubans,ribbons
1078,habileté,skill
1079,pourries,rotten
1080,déguerpir,disguise
1081,footballeur,footballer
1082,volera,will steal
1083,cascades,waterfall
1084,accusent,accuse
1085,maintiens,keeping
1086,asiatiques,Asian
1087,présidentielle,presidential
1088,stylos,pens
1089,bing,bing
1090,concessions,concessions
1091,incompétent,incompetent
1092,contrainte,constraint
1093,could,rod
1094,roulante,rolling
1095,dépendre,depend
1096,souvenais,remember
1097,archers,archers
1098,jong,jong
1099,jerome,jerome
1100,largage,release
1101,attirés,attracted
1102,analyste,analyst
1103,angelina,Angelina
1104,bucky,bucky
1105,animale,animal
1106,joui,cheese
1107,lennie,lennie
1108,transit,transit
1109,vomis,vomit
1110,fletch,fletch
1111,suzy,Suzy
1112,fidel,fidel
1113,régional,regional
1114,chevrolet,chevrolet
1115,pepsi,pepsi
1116,éric,Eric
1117,hendrix,hendrix
1118,lonnie,lonnia
1119,klingon,klingon
1120,uhh,UHH
1121,perplexe,perplex
1122,contribuer,contribute
1123,elfes,elves
1124,botté,boot
1125,calmez,calm
1126,souhaitais,desired
1127,convertir,convert
1128,tremblent,tremble
1129,aristocrate,aristocrat
1130,brigand,brigand
1131,aujourd,today
1132,permettait,allowed
1133,restauration,restoration
1134,déclenchée,triggered
1135,frêres,brothers
1136,suer,sweat
1137,souhaitait,wished
1138,collective,collective
1139,contrarie,upset
1140,collée,glued
1141,émis,issued
1142,risquait,risked
1143,présentable,presentable
1144,accueillons,Let us welcome
1145,parierais,would bet
1146,pesant,weighing
1147,gâter,spoil
1148,solennellement,solemnly
1149,parcelle,plot
1150,aboyer,to bark
1151,épinards,spinach
1152,filature,spinning
1153,étonner,surprise
1154,requis,required
1155,dévalisé,devilled
1156,anéantie,annihilate
1157,viola,Viola
1158,asseyait,Asked
1159,malone,Malone
1160,vices,vices
1161,colomb,Columbus
1162,mécontent,unhappy
1163,réceptionniste,receptionist
1164,impair,odd
1165,peupie,peupie
1166,mâche,chewed up
1167,cologne,cologus
1168,supérieures,superior
1169,recevras,will receive
1170,ei,IS
1171,chatons,kittens
1172,banquette,bench
1173,finesse,finesse
1174,autos,cars
1175,youpi,Youpi
1176,apprenais,learned
1177,sentinelles,sentries
1178,féroces,fierce
1179,imposé,imposed
1180,martinez,Martinez
1181,inversé,reverse
1182,lutz,lutz
1183,delhi,Delhi
1184,margie,margie
1185,trophées,trophies
1186,need,Need
1187,mythologie,mythology
1188,marat,marat
1189,them,Them
1190,machins,jaw
1191,master,Master
1192,organisés,organized
1193,cake,cake
1194,forbes,forbes
1195,discutait,discussed
1196,prete,ready
1197,ressentent,feel
1198,réacteurs,reactors
1199,gerbe,wreath
1200,bourrer,stuff
1201,internat,boarding school
1202,localisation,location
1203,keaton,keaton
1204,enflure,swelling
1205,estjuste,is just
1206,clim,air conditioning
1207,tao,tao
1208,jojo,Jojo
1209,shraga,shraga
1210,reyes,reyes
1211,disjoncté,disjected
1212,shooter,shoot
1213,bee,bee
1214,watergate,watergate
1215,hamster,hamster
1216,gillian,Gillian
1217,gob,gob
1218,reves,dreams
1219,laveur,washer
1220,taquiner,tease
1221,reconnus,recognized
1222,emmenais,Embénais
1223,aperçue,glimpse
1224,émet,emits
1225,impressions,impressions
1226,hissez,hoist
1227,chevelure,hair
1228,carats,carats
1229,fines,fine
1230,clientes,clients
1231,princesses,princesses
1232,arriêre,back
1233,méditerranée,Mediterranean
1234,regorge,abound
1235,chanterai,will sing
1236,querelles,quarrels
1237,inexplicable,inexplicable
1238,crowley,Crowley
1239,désole,Sorry
1240,atouts,assets
1241,fâchés,angry
1242,méprisable,contemptible
1243,weston,Weston
1244,pensionnat,boarding school
1245,frangine,fragile
1246,purger,purge
1247,relancer,to restart
1248,voûte,vaulted
1249,couvrent,cover
1250,nié,denied
1251,bistrot,bistro
1252,hongrie,Hungary
1253,impulsions,impulses
1254,boirais,would drink
1255,retraité,retirement
1256,épice,spicy
1257,corridor,corridor
1258,prodigieux,prodigious
1259,schultz,schultz
1260,niagara,niagara
1261,désoiée,offend
1262,rôtir,to roast
1263,plié,folded
1264,justifié,justified
1265,milwaukee,milwaukee
1266,fiables,reliable
1267,présentait,presented
1268,gendarme,gendarme
1269,distant,distant
1270,égocentrique,egocentric
1271,tiroirs,drawers
1272,musclé,muscle
1273,barbu,bearded
1274,gong,gong
1275,cannelle,cinnamon
1276,dangereusement,dangerously
1277,buffle,buffalo
1278,indestructible,indestructible
1279,orthodoxe,orthodox
1280,entrepris,undertaken
1281,réguliers,regular
1282,informée,informed
1283,pesetas,pesetas
1284,habilles,dresses
1285,caractères,characters
1286,skier,to ski
1287,nottingham,Nottingham
1288,elfe,elf
1289,énergétique,energetic
1290,duffy,duffy
1291,admise,admitted
1292,bascule,swing
1293,supporters,supporters
1294,andreï,Andreï
1295,dèjà,Already
1296,plutonium,plutonium
1297,rest,rest
1298,étudies,study
1299,métaux,metals
1300,eminence,eminence
1301,aviv,Aviv
1302,déconnez,Disconnect
1303,katya,katya
1304,cheeseburger,cheeseburger
1305,funk,funk
1306,leapinlar,leapinlar
1307,leela,leela
1308,verrouiller,lock
1309,désigne,designate
1310,quichotte,quiichotte
1311,approuver,approve
1312,erre,wander
1313,henrik,Henrik
1314,présentera,will present
1315,theresa,Theresa
1316,satisfaisant,satisfying
1317,plateaux,trays
1318,ètais,ètais
1319,flatte,flatter
1320,dénicher,find
1321,chercherai,will seek
1322,réconfortant,comforting
1323,trombone,trombone
1324,menaçait,threatened
1325,raie,ray
1326,chérir,cherish
1327,downey,downey
1328,exposée,presentation
1329,géantes,giant
1330,samedis,Saturdays
1331,donnaient,gave
1332,frieda,frieda
1333,essaierais,would try
1334,digérer,digest
1335,marraine,godmother
1336,causés,caused
1337,exclure,exclude
1338,amazone,Amazon
1339,puante,stinking
1340,abouti,successful
1341,bouclée,curly
1342,skinny,skinny
1343,découvrira,will discover
1344,choléra,cholera
1345,three,three
1346,continuerons,will continue
1347,manning,manning
1348,psychique,psychic
1349,scolaires,school
1350,amoureuses,in love
1351,obstruction,obstruction
1352,défaites,defeats
1353,zinc,zinc
1354,jardinage,gardening
1355,rand,rand
1356,ivres,drunk
1357,vouiu,vouiu
1358,sèches,dry
1359,conscients,conscious
1360,réussissent,succeed
1361,renversée,reversed
1362,incompétence,incompetence
1363,sand,sand
1364,canton,canton
1365,tiède,lukewarm
1366,espèrent,hope
1367,tapait,tap
1368,aînés,elder
1369,avisé,informed
1370,please,please
1371,minette,kitten
1372,pinte,pint
1373,nonnes,nuns
1374,cristaux,crystals
1375,bernstein,Bernstein
1376,comporté,compounded
1377,secousse,jerk
1378,déplacée,displaced
1379,sondage,survey
1380,welles,Welles
1381,classement,ranking
